不可重复,日语原文,中文翻译,使用声音文件,声音开始时间,声音结束时间
52,山田さんとは初対面だったので、あいさつした。,因为和山田先生是第一次见面，打了个招呼。,res://assets/sounds/Chapter1_Section3.mp3,2.14,7.28
53,合コンでお互いに自己紹介をした。,在联谊会上互相自我介绍了一下。,res://assets/sounds/Chapter1_Section3.mp3,9.59,14.3
54,朝、大家さんに会ったので、おじぎした。,早上见到房东点头打了个招呼。,res://assets/sounds/Chapter1_Section3.mp3,16.31,20.95
55,できるだけ近所付き合いを大切にしている。,尽量和邻居们好好相处。,res://assets/sounds/Chapter1_Section3.mp3,23.42,28.24
56,私のアパートの大家さんは、とても親切な人だ。,我公寓的房东是个特别热心的人。,res://assets/sounds/Chapter1_Section3.mp3,30.32,36.02
57,犬の飼い主同士が公園でおしゃべりをしている。,养狗的主人们在公园里聊天。,res://assets/sounds/Chapter1_Section3.mp3,37.98,43.31
58,近所の人達に会うと、笑顔であいさつを交わす。,见到邻居的时候微笑着互相打招呼。,res://assets/sounds/Chapter1_Section3.mp3,45.57,51.26
59,アパートの前で管理人さんに呼び止められた。,在公寓前被楼管叫住了。,res://assets/sounds/Chapter1_Section3.mp3,53.66,58.77
60,後ろから名前を呼ばれて、振り返った。,听到后面有人叫名字，我回过头去。,res://assets/sounds/Chapter1_Section3.mp3,61.14,65.42
61,学生時代を振り返ると、なつかしい。,回顾学生时代，真是令人怀念。,res://assets/sounds/Chapter1_Section3.mp3,65.42,69.79
62,以前お世話になった人に再会した。,和以前关照过我的人又相见了。,res://assets/sounds/Chapter1_Section3.mp3,71.98,76.67
63,田中さんとは会った覚えがない。,我不记得和田中见过面。,res://assets/sounds/Chapter1_Section3.mp3,78.8,82.94
64,心当たりのない番号から電話がかかってきた。,一个毫无线索的电话号码打来了电话。,res://assets/sounds/Chapter1_Section3.mp3,85.25,90.53
65,川田さんの名前と顔が結びつかない。,川田的名字和脸实在联系不起来。,res://assets/sounds/Chapter1_Section3.mp3,92.94,97.86
66,隣の人に会ったとき、とっさに名前が出てこなかった。,和旁边的人见到时，突然想不起他的名字来了。,res://assets/sounds/Chapter1_Section3.mp3,101.81,107.82
67,てっきり彼らを兄弟だと思っていた。,我一直以为他们俩人一定是兄弟。,res://assets/sounds/Chapter1_Section3.mp3,110.01,114.66
68,私は木村さんが独身だと思い込んでいた。,我一直以为木村是单身。,res://assets/sounds/Chapter1_Section3.mp3,116.99,122.36
69,いろいろな国の人とコミュニケーションを持ちたい。,我想和各种国家的人沟通交流。,res://assets/sounds/Chapter1_Section3.mp3,124.93,129.87
70,将来のために、知り合いのネットワークを広げたい。,为了自己的将来，想拓宽自己的人脉。,res://assets/sounds/Chapter1_Section3.mp3,132.44,137.68
71,彼とは直接の友達ではない。,我和他不是直接的朋友关系。,res://assets/sounds/Chapter1_Section3.mp3,139.85,143.88
72,敬語が下手なので、目上の人と接するのが苦手だ。,我敬语不好，所以不善于和上级打交道。,res://assets/sounds/Chapter1_Section3.mp3,146.09,151.35
73,私のアパートは、隣のビルと接している。,我住的公寓和隔壁的楼相连。,res://assets/sounds/Chapter1_Section3.mp3,151.35,156.06
74,先日、部長のお宅に招かれた。,前几天被邀请到部长家里。,res://assets/sounds/Chapter1_Section3.mp3,158.12,162.4
75,彼の言葉が大きな混乱を招いた。,他的话招致了巨大的混乱。,res://assets/sounds/Chapter1_Section3.mp3,162.4,167.06
76,アルバイト先の先輩の気配りを見習いたい。,我想学习打工地方的前辈的那种细心周到。,res://assets/sounds/Chapter1_Section3.mp3,169.27,174.26
77,感謝の気持ちを込めて、先生へのプレゼントを選んだ。,怀着谢意为老师选了礼物。,res://assets/sounds/Chapter1_Section3.mp3,176.24,181.64
78,彼は会社の同期と、とても仲がいい。,他和公司的同期关系非常好。,res://assets/sounds/Chapter1_Section3.mp3,184.09,188.67
79,每晩居酒屋で同期とぐちをこぼしている。,每天晚上在居酒屋和同期们一起发牢骚。,res://assets/sounds/Chapter1_Section3.mp3,190.37,195.51
80,今日は大いに飲んで楽しもう。,今天狠狠地喝，一起尽兴吧。,res://assets/sounds/Chapter1_Section3.mp3,197.6,201.61
81,彼らは似合いのカップルだ。,他们是很般配的一对。,res://assets/sounds/Chapter1_Section4.mp3,2,5.69
82,愛を込めて、彼女にメッセージを送る。,满怀爱意地给女朋友发信息。,res://assets/sounds/Chapter1_Section4.mp3,7.44,12.11
83,恋人同士が見つめ合う。,恋人互相凝视对方。,res://assets/sounds/Chapter1_Section4.mp3,14.2,17.57
84,二人はお互いの性格が気に入った。,那两个人中意对方的性格。,res://assets/sounds/Chapter1_Section4.mp3,21.3,25.72
85,私達は会ったときから、お互いに好きだった。,我们自见面以来就互相喜欢上了。,res://assets/sounds/Chapter1_Section4.mp3,25.72,31.01
86,僕が彼女とつり合っているかどうか心配だ。,我很担心是否能和她相配。,res://assets/sounds/Chapter1_Section4.mp3,33.32,38.58
87,完ぺきな人より、むしろ欠点のある人の方が好きだ。,比起完美的人，我更喜欢有缺点的人。,res://assets/sounds/Chapter1_Section4.mp3,40.62,46.62
88,彼女は僕にとって、いわば太陽のような人だ。,她对我来说，可谓太阳一般的存在。,res://assets/sounds/Chapter1_Section4.mp3,48.78,54.38
89,二人は、しばらく視線を合わせなかった。,他们俩许久没有正视对方。,res://assets/sounds/Chapter1_Section4.mp3,56.4,61.17
90,彼は彼女をじっと見つめていた。,他一直注视着她。,res://assets/sounds/Chapter1_Section4.mp3,63.48,67.84
91,彼女に気づかれて、目をそらした。,被她发现了，所以把视线移开了。,res://assets/sounds/Chapter1_Section4.mp3,70.12,74.19
92,好きな人が隣の席に座ったので、ちらっと見た。,喜欢的人坐在了旁边，扫了一眼。,res://assets/sounds/Chapter1_Section4.mp3,76.4,82.19
93,もしかすると、彼は私のことが好きかもしれない。,或许他喜欢我。,res://assets/sounds/Chapter1_Section4.mp3,84.7,90.55
94,友達に頼んで、彼女の気持ちを探ってもらった。,我拜托朋友去试探她的想法。,res://assets/sounds/Chapter1_Section4.mp3,92.87,98.15
95,ポケットを探ったら、500円玉が出てきた。,摸了口袋后，掏出来个500日元硬币。,res://assets/sounds/Chapter1_Section4.mp3,98.15,102.77
96,彼は彼女に自分の気持ちを示せない。,他无法对她表露自己的心意。,res://assets/sounds/Chapter1_Section4.mp3,105.03,109.67
97,例を示して、文法を説明する。,举例说明语法。,res://assets/sounds/Chapter1_Section4.mp3,109.67,114.01
98,試験勉強を口実にして、彼女と図書館で会った。,以备考学习为借口，和她在图书馆见面了。,res://assets/sounds/Chapter1_Section4.mp3,116.07,121.97
99,彼女は恥ずかしそうにうつむいた。,她很不好意思地低下了头。,res://assets/sounds/Chapter1_Section4.mp3,124.25,127.99
100,親に内緒にして、こそこそ付き合うのは嫌だ。,我讨厌对父母保密着偷偷摸摸地谈恋爱。,res://assets/sounds/Chapter1_Section4.mp3,130.2,135.25
101,彼は、やさしい声で「愛してる」とささやいた。,他用十分温柔的声音低声细语道“我爱你”。,res://assets/sounds/Chapter1_Section4.mp3,137.63,143.51
102,私達の間で、うそは禁物だ。,我们之间谎言是禁忌。,res://assets/sounds/Chapter1_Section4.mp3,145.92,150.18
103,彼にうそをついたことを謝って、許してもらった。,对他撒谎的事我道歉了，请求了他的原谅。,res://assets/sounds/Chapter1_Section4.mp3,152.12,157.45
104,二人は合コンで知り合ったそうだ。,他们俩好像是在联谊会上认识的。,res://assets/sounds/Chapter1_Section4.mp3,159.53,163.54
105,先にアプローチしたのは彼だった。,是他先接近我的。,res://assets/sounds/Chapter1_Section4.mp3,165.86,169.57
106,彼女こそ、僕の運命の人だ。,她才是我命中注定的人。,res://assets/sounds/Chapter1_Section4.mp3,171.72,175.86
107,ついに彼女との結婚を決意した。,终于决定要和她结婚了。,res://assets/sounds/Chapter1_Section4.mp3,177.92,182.46
108,指輪を贈って、彼女にプロポーズした。,我送了她戒指，向她求婚了。,res://assets/sounds/Chapter1_Section4.mp3,184.84,189.55
109,みんなの前で愛を誓った。,在大家面前宣誓爱意。,res://assets/sounds/Chapter1_Section4.mp3,191.68,195.51
110,彼女の花嫁姿は、きっと美しいだろう。,她穿婚纱的样子一定很美吧。,res://assets/sounds/Chapter1_Section4.mp3,197.72,202.53
111,ささいなことが原因で、彼女とけんかになった。,因为点鸡毛蒜皮的事情和她吵架了。,res://assets/sounds/Chapter1_Section5.mp3,2,6.96
112,私は彼のようなタイプが苦手で、つい避けてしまう。,我不太擅长和他这种人打交道，一见到就避开。,res://assets/sounds/Chapter1_Section5.mp3,9.13,15.01
113,小さなことが彼女の誤解を招いてしまった。,因为很小的事情招致了她的误解。,res://assets/sounds/Chapter1_Section5.mp3,17.09,22.25
114,私の勘違いで、親友とけんかになった。,因为我的误解和朋友吵架了。,res://assets/sounds/Chapter1_Section5.mp3,24.52,29.34
115,彼女は言い訳が多い人だ。,她是个满嘴借口的人。,res://assets/sounds/Chapter1_Section5.mp3,31.445,35.48
116,彼に食事に誘われたが、きっぱり断った。,他请我吃饭，但我断然拒绝了。,res://assets/sounds/Chapter1_Section5.mp3,39.74,45.13
117,あの人は、いつも私をばかにしている。,那个人总是瞧不起我。,res://assets/sounds/Chapter1_Section5.mp3,47.77,52.18
118,彼の言い方はいやみに聞こえる。,他说话的方式令人很不愉快。,res://assets/sounds/Chapter1_Section5.mp3,55.84,60.02
119,一方的に人を責めるのはよくない。,一味地责备别人不好。,res://assets/sounds/Chapter1_Section5.mp3,62.19,66.71
120,彼は人をほめず、いつもけなしている,一味地责备别人不好。,res://assets/sounds/Chapter1_Section5.mp3,68.96,73.93
121,彼女が怒っているときは、だまるしかない。,女朋友生气的时候只好沉默。,res://assets/sounds/Chapter1_Section5.mp3,76.04,80.68
122,彼女は怖い顔で、じっと彼をにらんだ。,她用可怕的表情一直瞪他。,res://assets/sounds/Chapter1_Section5.mp3,82.83,87.97
123,信じていた人に裏切られてしまった。,被一直相信的人背叛了。,res://assets/sounds/Chapter1_Section5.mp3,90.21,94.6
124,知り合いにだまされて、お金を貸してしまった。,被认识的人欺骗借了钱给他。,res://assets/sounds/Chapter1_Section5.mp3,96.83,101.97
125,うそをついたせいで、彼とけんかになった。,因为撒了谎，和他吵架了。,res://assets/sounds/Chapter1_Section5.mp3,104.23,108.87
126,彼女の行為が、どうしても許せない。,她的行为无论如何不能原谅。,res://assets/sounds/Chapter1_Section5.mp3,111,115.22
127,こんなことで友達と口論したくない。,我不想因为这种事和朋友发生口角。,res://assets/sounds/Chapter1_Section5.mp3,117.41,122.1
128,父が大声で怒鳴るのを初めて聞いた。,父亲这么大声吼叫我还是第一次听到。,res://assets/sounds/Chapter1_Section5.mp3,124.12,128.83
129,友達に殴られて、大けがをした。,被朋友打了，受了重伤。,res://assets/sounds/Chapter1_Section5.mp3,130.91,135.15
130,友達とは、お金の貸し借りをしない方がいい。,最好不要和朋友在金钱上借来借去。,res://assets/sounds/Chapter1_Section5.mp3,137.3,142.31
131,人の秘密をばらすなんて、彼は最低だ。,泄露别人的秘密，他这个人真差劲。,res://assets/sounds/Chapter1_Section5.mp3,144.56,149.74
132,引っ越しで、ベッドをばらして運んだ。,因为搬家，把床拆开了运。,res://assets/sounds/Chapter1_Section5.mp3,149.74,154.28
133,口論の後、二人は気まずくなった。,争执了以后两个人很尴尬。,res://assets/sounds/Chapter1_Section5.mp3,156.51,161.01
134,今さら彼に謝られても、すぐには許せない。,事到如今他才道歉，不能马上原谅。,res://assets/sounds/Chapter1_Section5.mp3,163.22,168.42
135,けんかをして、親友との友情を台無しにしてしまった。,吵架了以后，和好朋友的友情就这么糟蹋了。,res://assets/sounds/Chapter1_Section5.mp3,170.82,176.81
136,彼女に裏切られたが、うらむ気にはなれない。,虽然她背叛了我，但恨不起来。,res://assets/sounds/Chapter1_Section5.mp3,178.81,183.92
137,父とけんかして、家を追い出された。,和父亲吵架被赶出了家门。,res://assets/sounds/Chapter1_Section5.mp3,186.03,190.45
138,私は、SNSで仲間外れにされてしまった。,我被排除在好友名单之外了。,res://assets/sounds/Chapter1_Section5.mp3,193.01,198.61
139,あいつとは、もう二度と会いたくない。,我再也不要见到那个家伙了。,res://assets/sounds/Chapter1_Section5.mp3,200.57,204.68
140,兄はけんかすると、他人のような態度になる。,和哥哥一吵架就觉得他是外人了。,res://assets/sounds/Chapter1_Section5.mp3,206.83,211.77
143,去年から賃貸のアパートに住んでいる。,去年开始在外面租的公寓里住。,res://assets/sounds/Chapter2_Section1.mp3,9.47,13.92
144,このアパートは借りるときに敷金が必要だ。,租这个公寓时需要押金。,res://assets/sounds/Chapter2_Section1.mp3,16.43,21.69
145,ここに住んで２年経ったので、もうすぐ更新だ。,在这里住了两年了，马上要更新了。,res://assets/sounds/Chapter2_Section1.mp3,23.98,29.49
146,会社の先輩が 30 年ローンで家を買った。,公司的前辈有了30年的贷款买了房子。,res://assets/sounds/Chapter2_Section1.mp3,31.44,36.83
147,ここではベットを飼ってはいけない決まりがある。,这里规定不能养宠物。,res://assets/sounds/Chapter2_Section1.mp3,38.95,44.26
148,先生が東京に一戸建てを買ったそうだ。,听说老师在东京买了独栋楼房。,res://assets/sounds/Chapter2_Section1.mp3,46.84,51.88
149,日本でマイホームを買うのが夢だ。,在日本买一间属于自己的家是我的梦想。,res://assets/sounds/Chapter2_Section1.mp3,54.19,58.23
150,やっぱりふるさとの我が家が一番だ。,还是故乡的自己家好。,res://assets/sounds/Chapter2_Section1.mp3,60.53,64.89
151,実家は家屋は大きくないが、庭がとても広い。,我老家房子不太大，但院子很大。,res://assets/sounds/Chapter2_Section1.mp3,66.99,72.89
152,あの青い屋根が山田さんの家です。,那个蓝色屋顶的是山田先生家。,res://assets/sounds/Chapter2_Section1.mp3,74.9,79.56
153,この家には洗面所に洗濯機を置くスペースがある。,这个房子的洗手间里有放洗衣机的地方。,res://assets/sounds/Chapter2_Section1.mp3,82.04,88.38
154,使わない物は物置に入れておく。,不用的东西都放到库房里去。,res://assets/sounds/Chapter2_Section1.mp3,90.63,95.46
155,我が家の間取りは４ＬＤＫだ。,我们家的房间布局是４室１厅。,res://assets/sounds/Chapter2_Section1.mp3,97.54,101.83
156,この部屋は、空間を広く見せる工夫をしている。,这个房间在如何呈现更大的空间上下功夫。,res://assets/sounds/Chapter2_Section1.mp3,104.06,109.63
157,寒くなったので、押し入れの奥からふとんを出した。,因为天气变冷了，把被子从壁橱的深处拿了出来。,res://assets/sounds/Chapter2_Section1.mp3,111.75,117.9
158,田中さんの家を訪ねたら、奥の部屋に通された。,我去拜访了田中先生家，他们请我进了里屋。,res://assets/sounds/Chapter2_Section1.mp3,117.9,122.98
159,そのドアは手前に引いてください。,开这扇门的时候请朝自己这边拉。,res://assets/sounds/Chapter2_Section1.mp3,125.03,129.34
160,この部屋は南向きで暖かい。,这个房间朝南很暖和。,res://assets/sounds/Chapter2_Section1.mp3,131.68,135.89
161,この家は木の温もりが感じられる。,这个房子里能感受到木头的暖意。,res://assets/sounds/Chapter2_Section1.mp3,138.11,144.8
162,うちは頑丈なので、地震が起きても大丈夫だ。,我们家很结实，就算地震也不要紧。,res://assets/sounds/Chapter2_Section1.mp3,145.43,150.5
163,今日はマンションのエレベーターが点検中で、動かない。,今天公寓的电梯在检查，所以不开。,res://assets/sounds/Chapter2_Section1.mp3,152.76,158.74
164,今、エレベーターが停止している。,现在电梯停运中。,res://assets/sounds/Chapter2_Section1.mp3,160.88,165.2
165,上の部屋で大きな物音がする。,楼上的房间传来很大的声音。,res://assets/sounds/Chapter2_Section1.mp3,167.52,171.8
166,防犯のために、ドアに特別な鍵をつけた。,为了防盗在门上上了特制的门锁。,res://assets/sounds/Chapter2_Section1.mp3,174.15,179.56
167,同じアパートに犯人が住んでいたなんて、ぞっとする。,同一个公寓里居然住着个犯人，想想就害怕。,res://assets/sounds/Chapter2_Section1.mp3,181.87,187.72
168,このマンションは警備が厳しい。,这个公寓里警备森严。,res://assets/sounds/Chapter2_Section1.mp3,189.9,194.05
169,このアパートは新築ではないが、建ってからまだ2年だ。,这个公寓虽然不是全新的，但建成以来只过了两年。,res://assets/sounds/Chapter2_Section1.mp3,196.44,202.55
170,アルバイト生活なので、毎月の収入が違う。,出于过着打零工的生活，每个月的收入都不同。,res://assets/sounds/Chapter2_Section2.mp3,2.4,8
171,ごくわずかだが、給料が上がった。,虽然只是一点点，工资涨是涨了。,res://assets/sounds/Chapter2_Section2.mp3,10,14.55
172,私の給料はせいぜい月 20 万円くらいだ。,我的工资每个月充其量也就20万日元左右。,res://assets/sounds/Chapter2_Section2.mp3,16.76,22.3
173,あきらめずに、せいぜい頑張りなさい。,不放弃，尽可能地努力吧。,res://assets/sounds/Chapter2_Section2.mp3,22.3,26.44
174,一人暮らしは出費が多くて、大変だ。,一个人生活开销很大很辛苦。,res://assets/sounds/Chapter2_Section2.mp3,28.56,33.33
175,困った。今月もまた赤字だ。,真是头疼，这个月又是赤字。,res://assets/sounds/Chapter2_Section2.mp3,35.35,39.71
176,レポートが返ってきたが、赤字が入っていた。,报告退回来了，上面还有校正的红色字。,res://assets/sounds/Chapter2_Section2.mp3,39.71,44.57
177,私にとって1万円は大金だ。,对我来说，1万日元是一大笔钱了。,res://assets/sounds/Chapter2_Section2.mp3,46.89,51.57
178,市役所から税金の支払い通知が来た。,区政府发布了税金支付通知书。,res://assets/sounds/Chapter2_Section2.mp3,53.74,58.58
179,私は税金を、きちんと納めている。,我一直都履行纳税义务。,res://assets/sounds/Chapter2_Section2.mp3,60.78,65.47
180,税込価格は消費税を含む。,含税价格里包含了消费税。,res://assets/sounds/Chapter2_Section2.mp3,67.55,71.81
181,日本の公共料金は私の国よりずっと高い。,日本的公共费比我们国家的贵得多。,res://assets/sounds/Chapter2_Section2.mp3,74.55,80.51
182,商品の代金をコンビニの ATM で払い込んだ。,在便利店的 ATM 机上支付商品的货款。,res://assets/sounds/Chapter2_Section2.mp3,82.93,88.86
183,光熱費は銀行の引き落としにしている。,电费煤气费是从账户上扣款的。,res://assets/sounds/Chapter2_Section2.mp3,91.37,96.11
184,この時間に ATM を利用すると、手数料がかかる。,这个时间段使用 ATM 机需要手续费。,res://assets/sounds/Chapter2_Section2.mp3,98.46,104.3
185,銀行預金の出し入れは、コンビニでもできる。,在便利店也可以存取银行账户上的钱。,res://assets/sounds/Chapter2_Section2.mp3,106.92,111.99
186,一人暮らしの自炊は高くつくこともある。,一个人生活自己做饭，反而有时比较贵。,res://assets/sounds/Chapter2_Section2.mp3,114.51,119.2
187,ときどき銀行の残高をチェックする。,有时会查一下银行账户的余额。,res://assets/sounds/Chapter2_Section2.mp3,121.46,126.18
188,せっせとバイトして、少しでも貯金したい。,我想勤勤恳恳地打工多多少少存一点钱。,res://assets/sounds/Chapter2_Section2.mp3,128.41,133.2
189,大まかな1か月の生活費を計算すると、10 万円だ。,粗略计算下来一个月的生活费大概10万日元。,res://assets/sounds/Chapter2_Section2.mp3,135.64,142.48
190,給料から生活費を差し引くと、貯金はできない。,工资扣除生活费后就存不下钱了。,res://assets/sounds/Chapter2_Section2.mp3,144.83,150.45
191,いつも節約に努めている。,总是尽力节省。,res://assets/sounds/Chapter2_Section2.mp3,152.74,156.6
192,友達に飲み会の勘定を立て替えてもらった。,请朋友垫付了聚餐的账单。,res://assets/sounds/Chapter2_Section2.mp3,159.25,164.54
193,生活が苦しくて、親に援助してもらった。,生活太辛苦，请求了父母的支援。,res://assets/sounds/Chapter2_Section2.mp3,166.71,171.8
194,次のボーナスで親に借金を返済しよう。,用下次的奖金来偿还向父母借的钱。,res://assets/sounds/Chapter2_Section2.mp3,174.2,179.39
195,やっと、日本での生活が安定してきた。,在日本的生活终于安定了起来。,res://assets/sounds/Chapter2_Section2.mp3,181.9,186.7
196,この機械は安定したところに置いてください。,这个机器要放在稳当地地方。,res://assets/sounds/Chapter2_Section2.mp3,186.7,191.41
197,子どもの頃から好き嫌いが多かった。,儿时起就有很多偏好。,res://assets/sounds/Chapter2_Section3.mp3,2.05,6.45
198,私の好物は肉料理と甘い物だ。,肉和甜食是我的最爱。,res://assets/sounds/Chapter2_Section3.mp3,8.62,13.6
199,味の濃い料理は、すぐ飽きる。,重口味的料理一下子就吃腻了。,res://assets/sounds/Chapter2_Section3.mp3,15.7,19.8
200,この料理は、まずくはないが、物足りない気がする。,这道菜不难吃，但总觉得有不足之处。,res://assets/sounds/Chapter2_Section3.mp3,22.39,28.02
201,この店の料理は、とてもボリュームがある。,这家商店的料理分量十足。,res://assets/sounds/Chapter2_Section3.mp3,30.22,34.4
202,すみませんが、少しボリュームを下げてください。,不好意思，请把音量调小一些。,res://assets/sounds/Chapter2_Section3.mp3,34.4,39.25
